dataset_id,name,sector,scope,recommendation,relevance,audit_status,rows,last_update,last_update_days,update_freq,n_columns,n_meaningful_columns,columns_all,join_keys_found,join_key_classes,join_key_columns,sample_join_density,source_refs,origin_refs,signal_refs,probe_notes,url
36ay-utxu,UGPP - Tasa de Evasión Aportes al Sistema de la Protección Social,Finance and Public Credit Sector Roadmap,colombia_open_data_audit,manual_review,review,valid,-1,2020-11-19,1982,,4,4,ano|obligacion_pagos_y_evasion|billones_de_pesos|porcentaje_de_evasion,0,,,,,appendix|audit_json,,llm_tier=context_enrichment; llm_reasoning=This dataset on evasion rates of social protection contributions provides valuable financial context for understanding the overall fiscal health and potential revenue leakage within the Colombian gove; llm_tier=context_enrichment; llm_reasoning=This dataset on evasion rates of social protection contributions provides valuable financial context for understanding the overall fiscal health and potential revenue leakage within the Colombian gove,https://www.datos.gov.co/d/36ay-utxu
36vw-pbq2,SECOP I - Modificaciones a Procesos,National Planning Sector Roadmap,colombia_open_data_audit,candidate,high,valid,-1,2026-04-22,2,,7,7,id_proceso|id_modificacion|fecha_modificacion|campo_modificado|valor_anterior|valor_nuevo|justificacion_cambio,1,process,process:id_proceso,,,appendix|audit_json,,"llm_tier=ingest_priority; llm_reasoning=This dataset is highly relevant as it directly tracks modifications to public procurement processes, offering a clear audit trail for potential irregularities and changes that could indicate fraud or; llm_tier=ingest_priority; llm_reasoning=This dataset is highly relevant as it directly tracks modifications to public procurement processes, offering a clear audit trail for potential irregularities and changes that could indicate fraud or ",https://www.datos.gov.co/d/36vw-pbq2
3faq-g9ig,Demandas de Protección al Consumidor admitidas y terminadas por la Delegatura para Asuntos Jurisdiccionales de la Superintendencia de Industria y Comercio,MINCIT Sectoral Roadmap 2026,colombia_open_data_audit,drop,low,valid,-1,2025-08-19,248,,7,7,ano|consecutivo_demanda|fecha_de_presentacion|fecha_admision|fecha_terminacion|tipo_de_tramite|subtipo_de_tramite,0,,,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset, detailing consumer protection claims, is indirectly relevant to corruption by potentially revealing patterns of misconduct by businesses that might also be involved in public procurement; llm_tier=context_enrichment; llm_reasoning=This dataset, detailing consumer protection claims, is indirectly relevant to corruption by potentially revealing patterns of misconduct by businesses that might also be involved in public procurement",https://www.datos.gov.co/d/3faq-g9ig
3fbf-wags,Notificaciones por aviso y personales de la Superfinanciera,Finance and Public Credit Sector Roadmap,colombia_open_data_audit,manual_review,review,valid,-1,2022-04-01,1484,,7,7,nombre_del_notificado|fecha_acto_administrativo|fecha_de_publicaci_n|notificaci_n_personal_y_o_aviso|fecha_de_notificaci_n|descripci_n|rea_que_notifica,0,,,,,appendix|audit_json,,"llm_tier=ingest_priority; llm_reasoning=This dataset is highly relevant as it contains notifications from the Superfinanciera, which can reveal administrative actions, sanctions, or investigations related to financial entities, potentially; llm_tier=ingest_priority; llm_reasoning=This dataset is highly relevant as it contains notifications from the Superfinanciera, which can reveal administrative actions, sanctions, or investigations related to financial entities, potentially ",https://www.datos.gov.co/d/3fbf-wags
3hdv-smhz,TVEC - Compras por item,National Planning Sector Roadmap,colombia_open_data_audit,candidate,high,valid,-1,2026-04-16,8,,12,12,orden_de_compra|fecha|entidad|nit_entidad|provedor|nit_proveedor|item|price|qty|unidad_de_medida|line_total|cdp,2,entity|nit,entity:nit_entidad|nit:nit_entidad|nit:nit_proveedor,,,appendix|audit_json,,,https://www.datos.gov.co/d/3hdv-smhz
3wdf-ypyy,Servicios de Calibración Prestados - Instituto Nacional de Metrología,MINCIT Sectoral Roadmap 2026,colombia_open_data_audit,drop,low,valid,-1,2026-02-04,79,,5,5,fecha|servicio|subservicio|tema|equipo,0,,,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset provides details on calibration services, which could indirectly inform procurement by showing the types of services the National Metrology Institute (NIM) provides and potentially the eq; llm_tier=context_enrichment; llm_reasoning=This dataset provides details on calibration services, which could indirectly inform procurement by showing the types of services the National Metrology Institute (NIM) provides and potentially the eq",https://www.datos.gov.co/d/3wdf-ypyy
3xwx-53wt,SECOP I - Origen de los Recursos,National Planning Sector Roadmap,colombia_open_data_audit,keep,already_used,valid,-1,2026-04-23,1,,8,8,identificador|id_origen_de_los_recursos|orig_rec_nombre|id_adjudicacion|codigo_bpin|anno_bpin|descripcion_otros_recursos|valor,2,bpin|process,bpin:codigo_bpin|process:id_adjudicacion,,secop_i_resource_origins,appendix|audit_json|source_registry,,,https://www.datos.gov.co/d/3xwx-53wt
3y4s-dmxy,MEN_INDICADORES_PRIMERA_INFANCIA,Education,colombia_open_data_audit,drop,low,valid,-1,2024-08-15,617,,11,11,fecha|fecha_corte|etc|cod_dane_depto|nombre_depto|cod_dane_mun|nombre_mun|indicador_1_educaci_n_inicial|indicador_2_ni_os_y_ni_as|indicador_3_total_educaci|indicador_4_concurrencia_de_atenciones,1,divipola,divipola:cod_dane_depto|divipola:cod_dane_mun,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset provides indicators related to early childhood education, which can be indirectly relevant for detecting corruption by enriching context around education sector spending and identifying p; llm_tier=context_enrichment; llm_reasoning=This dataset provides indicators related to early childhood education, which can be indirectly relevant for detecting corruption by enriching context around education sector spending and identifying p",https://www.datos.gov.co/d/3y4s-dmxy
489x-mu3c,"Número de Casos de Niños, Niñas y Adolescentes (NNA) reportados en SIRITI por cada Tipo de Vulnerabilidad a Nivel Nacional.",Labor,colombia_open_data_audit,candidate_context,medium,valid,-1,2021-11-25,1611,,2,2,ninguna_vulnerabilidad|cantidad_general,0,,,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset, detailing reported vulnerabilities of children, is not directly related to public procurement or financial transactions. However, it could indirectly inform corruption detection by provi; llm_tier=context_enrichment; llm_reasoning=This dataset, detailing reported vulnerabilities of children, is not directly related to public procurement or financial transactions. However, it could indirectly inform corruption detection by provi",https://www.datos.gov.co/d/489x-mu3c
4bku-d9az,Actuaciones judiciales ante la Corte Constitucional realizadas por el Ministerio de Justicia y del Derecho,Justice and Law Sector Roadmap,colombia_open_data_audit,manual_review,review,valid,-1,2025-07-02,296,,5,5,n_mero_de_proceso|norma_controlada|tema|actuaci_n_judicial|enlace_al_documento,1,process,process:n_mero_de_proceso,,,appendix|audit_json,,"llm_added_columns=1,classes=1; llm_tier=context_enrichment; llm_reasoning=This dataset contains judicial actions before the Constitutional Court related to the Ministry of Justice. While not direct procurement or financial data, it can provide context on legal challenges an; llm_tier=context_enrichment; llm_reasoning=This dataset contains judicial actions before the Constitutional Court related to the Ministry of Justice. While not direct procurement or financial data, it can provide context on legal challenges an",https://www.datos.gov.co/d/4bku-d9az
4cym-4b76,Directorio Consultorios Jurídicos de las Instituciones de Educación Superior,Justice and Law Sector Roadmap,colombia_open_data_audit,candidate_context,medium,valid,-1,2026-03-17,38,,8,8,universidad|telefono_celular|director_consultorio_jur|correo_electronico_dir|direccion|ciudad|departamento|horario_de_atenci_n_del_consultorio_jur_dico,0,,,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset lists legal aid clinics from educational institutions. While not directly procurement or financial data, it could be used to identify potential conflicts of interest or undue influence if; llm_tier=context_enrichment; llm_reasoning=This dataset lists legal aid clinics from educational institutions. While not directly procurement or financial data, it could be used to identify potential conflicts of interest or undue influence if",https://www.datos.gov.co/d/4cym-4b76
4e7j-65ci,Programa Escuelas Deportivas Para Todos,Sports Sector Roadmap,colombia_open_data_audit,drop,low,valid,-1,2021-11-18,1618,,15,14,n|departamento|municipio|deporte_1|deporte_2|deporte_3|deporte_4|edad|g_nero|grupo_tnico|condici_n_de_discapacidad|grupo_vulnerable|d_a_inscripci_n|mes_inscripci_n|a_o_inscripci_n,0,,,,,appendix|audit_json,,"llm_tier=ingest_if_useful; llm_reasoning=This dataset could be useful for detecting corruption by identifying potential irregularities in the allocation of resources for sports programs, such as over-allocation to specific demographics or re; llm_tier=ingest_if_useful; llm_reasoning=This dataset could be useful for detecting corruption by identifying potential irregularities in the allocation of resources for sports programs, such as over-allocation to specific demographics or re",https://www.datos.gov.co/d/4e7j-65ci
4ex9-j3n8,SECOP II - Contacto Entidades y Proveedores,National Planning Sector Roadmap,colombia_open_data_audit,candidate,high,valid,-1,2026-04-23,1,,23,23,codigo_entidad|nombre_entidad|nit_entidad|es_entidad|es_proveedor|es_grupo|esta_activa|feacha_de_creacion|codigo_categoria_principal|descripci_n_categoria_principal|numero_fax|correo_electronico|pais|departamento|ciudad|website|tipo_entidad|nombre_representante_legal|tipo_documento_representante_legal|n_mero_documento_representante_legal|correo_representante_legal|es_pyme|c_digo_ubicaci_n,2,entity|nit,entity:codigo_entidad|entity:nit_entidad|nit:nit_entidad|nit:n_mero_documento_representante_legal,,,appendix|audit_json,,,https://www.datos.gov.co/d/4ex9-j3n8
4hrb-y62g,MEN_ESTADISTICAS DE MATRICULA POR DEPARTAMENTOS_ES,Education Sector Roadmap,colombia_open_data_audit,candidate_context,medium,valid,-1,2025-10-28,178,,10,10,a_o|c_digo_deldepartamento|nombre_del_departamento|tecnica_profesional|tecnologica|universitaria|especializacion|maestria|doctorado|ies_con_oferta,0,,,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset provides enrollment statistics by department in the education sector. While not directly procurement or financial data, it can serve as contextual information to identify potential anomal; llm_tier=context_enrichment; llm_reasoning=This dataset provides enrollment statistics by department in the education sector. While not directly procurement or financial data, it can serve as contextual information to identify potential anomal",https://www.datos.gov.co/d/4hrb-y62g
4iyy-8sme,Consolidado Escenarios Mindeporte,Sports Sector Roadmap,colombia_open_data_audit,drop,low,valid,-1,2022-11-09,1262,,18,17,no|tipo_de_infraestructura|departamento|municipio|nombre_con_el_que_se|capacidad_de_aforo_de|rea_construida_en_metros|ano_en_el_que_se_construyo|responsable_de_la_operacion|casco_urbano_barrio|centro_poblado|rea_rural|coordenadas_de_ubicacion|estado_optimo|estado_bueno|estado_regular|estado_malo|sin_informacion,0,,,,,appendix|audit_json,,"llm_tier=ingest; llm_reasoning=This dataset provides details on sports infrastructure projects, including construction year, area, and operational responsibility, which can be cross-referenced with financial and procurement data to; llm_tier=ingest; llm_reasoning=This dataset provides details on sports infrastructure projects, including construction year, area, and operational responsibility, which can be cross-referenced with financial and procurement data to",https://www.datos.gov.co/d/4iyy-8sme
4mka-qdvc,Índice Información Clasificada Reservada,Culture Sector Roadmap,colombia_open_data_audit,drop,low,valid,-1,2024-03-20,765,,9,8,id|categor_ade_informaci_n|nombre_o_t_tulo_de_la_informaci_n|medio_de_conservaci_n_o_soporte|nombre_del_responsable_de_la_producci_n_de_la_informaci_n_rea|objeto_leg_timo_de_la_excepci_n_ley_1712|excepci_n_total_o_parcial|fecha_de_calificaci_n|plazo_de_clasificaci_n_o_reserva,0,,,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset, concerning classified or reserved information, is not directly related to procurement or financial transactions but can provide context for understanding why certain information might be; llm_tier=context_enrichment; llm_reasoning=This dataset, concerning classified or reserved information, is not directly related to procurement or financial transactions but can provide context for understanding why certain information might be",https://www.datos.gov.co/d/4mka-qdvc
4n4q-k399,Multas y Sanciones SECOP I,National Planning Sector Roadmap,colombia_open_data_audit,candidate,high,valid,-1,2026-04-22,2,,14,14,nombre_entidad|nit_entidad|nivel|orden|municipio|numero_de_resolucion|documento_contratista|nombre_contratista|numero_de_contrato|valor_sancion|fecha_de_publicacion|fecha_de_firmeza|fecha_de_cargue|ruta_de_proceso,3,contract|entity|nit,contract:numero_de_contrato|entity:nit_entidad|nit:nit_entidad|nit:documento_contratista,,,appendix|audit_json,,,https://www.datos.gov.co/d/4n4q-k399
4qkq-csdn,Registro Único de Prestadores de Servicios Públicos-RUPS,National Planning,colombia_open_data_audit,manual_review,review,valid,-1,2021-07-26,1733,,15,15,departamento_prestacion|municipio_prestacion|servicio|estado|nombre|nit|departamento_domicilio|municipio_domicilio|direccion|telefono|email|tipo_inscripcion|representante_legal|tipo_prestador|clasificacion,1,nit,nit:nit,,,appendix|audit_json,,"llm_tier=ingest; llm_reasoning=This dataset is highly relevant as it provides a registry of public service providers, which can be cross-referenced with procurement and financial data to identify potential conflicts of interest, sh; llm_tier=ingest; llm_reasoning=This dataset is highly relevant as it provides a registry of public service providers, which can be cross-referenced with procurement and financial data to identify potential conflicts of interest, sh",https://www.datos.gov.co/d/4qkq-csdn
